
===============================
Processus de l'ordinateur Log - Wed Oct  9 17:00:04 CEST 2024
===============================

USER     PID    CPU%       MEM%   VSZ    RSS    COMMAND
USER     PID    %CPU       %MEM   VSZ    RSS    COMMAND
root     1      0.9        0.1    167028 12472  /sbin/init
root     314    0.5        1.0    1024924 83564  /snap/ubuntu-desktop-installer/1286/usr/bin/python3.10
root     444    0.5        0.4    44172  38060  python3
root     1787   0.4        0.1    377284 12964  snapfuse
root     74     0.1        0.1    377416 13764  snapfuse
root     108    0.1        0.1    302520 10908  snapfuse
root     1806   0.1        0.6    2060148 49692  /usr/lib/snapd/snapd
root     2      0.0        0.0    2616   1444   /init
root     6      0.0        0.0    2616   4      plan9
root     38     0.0        0.1    47744  15012  /lib/systemd/systemd-journald
root     58     0.0        0.0    22100  5844   /lib/systemd/systemd-udevd
root     73     0.0        0.0    152992 188    snapfuse
root     75     0.0        0.0    152992 188    snapfuse
root     87     0.0        0.0    153124 2224   snapfuse
root     99     0.0        0.0    302520 7192   snapfuse
root     105    0.0        0.0    152992 2264   snapfuse
systemd+ 125    0.0        0.1    25540  12544  /lib/systemd/systemd-resolved
root     155    0.0        0.0    4308   2624   /usr/sbin/cron
message+ 157    0.0        0.0    8660   4684   @dbus-daemon
root     165    0.0        0.2    30108  19136  /usr/bin/python3
syslog   166    0.0        0.0    222404 5120   /usr/sbin/rsyslogd
root     174    0.0        0.0    15332  7424   /lib/systemd/systemd-logind
root     249    0.0        0.0    4784   3364   /bin/bash
root     255    0.0        0.2    107232 21292  /usr/bin/python3
root     265    0.0        0.0    3240   1172   /sbin/agetty
root     279    0.0        0.0    3196   1080   /sbin/agetty
root     347    0.0        0.0    2620   124    /init
root     348    0.0        0.0    2620   128    /init
adam     350    0.0        0.0    6176   5200   -bash
root     351    0.0        0.0    7528   4888   /bin/login
adam     409    0.0        0.1    16908  9032   /lib/systemd/systemd
adam     410    0.0        0.0    168780 3376   (sd-pam)
adam     416    0.0        0.0    6124   4952   -bash
root     2950   0.0        0.0    2620   128    /init
root     2951   0.0        0.0    2620   132    /init
adam     2956   0.0        0.0    6212   5128   -bash
adam     3535   0.0        0.0    6088   5024   bash
adam     3663   0.0        0.0    4920   3756   bash
adam     3716   0.0        0.0    3708   1344   stress
adam     3782   0.0        0.0    7644   3024   ps
adam     3783   0.0        0.0    8624   2980   awk

===============================

===============================
Processus de l'ordinateur Log - Sun Dec  1 15:54:27 CET 2024
===============================

USER     PID    CPU%       MEM%   VSZ    RSS    COMMAND
USER     PID    %CPU       %MEM   VSZ    RSS    COMMAND
adam     3717   96.6       0.0    3708   112    stress
adam     3718   96.6       0.0    3708   112    stress
root     1      0.9        0.1    167028 12472  /sbin/init
root     314    0.5        1.0    1024924 83564  /snap/ubuntu-desktop-installer/1286/usr/bin/python3.10
root     444    0.5        0.4    44172  38060  python3
root     1787   0.4        0.1    377284 12964  snapfuse
root     74     0.1        0.1    377416 13764  snapfuse
root     108    0.1        0.1    302520 10908  snapfuse
root     1806   0.1        0.6    2060148 49692  /usr/lib/snapd/snapd
root     2      0.0        0.0    2616   1444   /init
root     6      0.0        0.0    2616   4      plan9
root     38     0.0        0.1    47744  15012  /lib/systemd/systemd-journald
root     58     0.0        0.0    22100  5844   /lib/systemd/systemd-udevd
root     73     0.0        0.0    152992 188    snapfuse
root     75     0.0        0.0    152992 188    snapfuse
root     87     0.0        0.0    153124 2224   snapfuse
root     99     0.0        0.0    302520 7192   snapfuse
root     105    0.0        0.0    152992 2264   snapfuse
systemd+ 125    0.0        0.1    25540  12544  /lib/systemd/systemd-resolved
root     155    0.0        0.0    4308   2624   /usr/sbin/cron
message+ 157    0.0        0.0    8660   4684   @dbus-daemon
root     165    0.0        0.2    30108  19136  /usr/bin/python3
syslog   166    0.0        0.0    222404 5120   /usr/sbin/rsyslogd
root     174    0.0        0.0    15332  7424   /lib/systemd/systemd-logind
root     249    0.0        0.0    4784   3364   /bin/bash
root     255    0.0        0.2    107232 21292  /usr/bin/python3
root     265    0.0        0.0    3240   1172   /sbin/agetty
root     279    0.0        0.0    3196   1080   /sbin/agetty
root     347    0.0        0.0    2620   124    /init
root     348    0.0        0.0    2620   128    /init
adam     350    0.0        0.0    6176   5200   -bash
